Brittany Murphy	Girl, Interrupted
Broderick Crawford	All the Kings Men
Broderick Crawford	Born Yesterday
Bronwen Coleman	Capote
Bruce Bennett	Treasure of the Sierra Madre, The
Bruce Bennett	More the Merrier, The
Bruce Boxleitner	TRON: Legacy
Bruce Dern	Coming Home
Bruce Dern	Monster
Bruce Greenwood	I, Robot
Bruce Greenwood	Star Trek
Bruce Willis	Sixth Sense, The
Bruce Willis	Over the Hedge
Bruce Willis	Armageddon
Bruno Kirby	City Slickers
Bryan Larkin	Born on the Fourth of July
Bryce Dallas Howard	The Help
Bryce Dallas Howard	The Twilight Saga: Eclipse
Bud Cort	Pollock
Burgess Meredith	Rocky
Burl Ives	East of Eden
Burl Ives	Big Country, The
Burt Lancaster	From Here to Eternity
Burt Lancaster	Airport
Burt Lancaster	Come Back, Little Sheba
Burt Lancaster	Rose Tattoo, The
Burt Lancaster	Elmer Gantry
Burt Lancaster	Judgment at Nuremberg
Burt Lancaster	Separate Tables
Burt Reynolds	The Longest Yard
Burt Young	Rocky
Buzz Kilman	Philadelphia
C. Aubrey Smith	Morning Glory
Cameron Diaz	Shrek 2
Cameron Diaz	Shrek Forever After
Cameron Diaz	Shrek
Cameron Diaz	Shrek the Third
Cameron Diaz	Theres Something About Mary
Cameron Richardson	Alvin and the Chipmunks
Candice Bergen	Gandhi
Cantinflas	Around the World in Eighty Days
Cara Seymour	Adaptation.
Carey Loftin	Patton
Carl Weathers	Rocky
Carla Gugino	Night at the Museum
Carlin Glynn	Trip to Bountiful, The
Carlo Ninchi	Ciociara, La
Carlos Alazraqui	Happy Feet
Carmen Electra	Scary Movie
Carol Burnett	Horton Hears a Who!
Carol DeLuise	Sunshine Boys, The
Carol Florence	Oceans Eleven
Carol Kane	Annie Hall
Caroline Goodall	Schindlers List
Caroline Kava	Born on the Fourth of July
Carrie Fisher	Star Wars: Episode V - The Empire Strikes Back
Carrie Fisher	Star Wars: Episode VI - Return of the Jedi
Carrie Fisher	Hannah and Her Sisters
Carrie Fisher	Star Wars
Carrie Snodgress	Blue Sky
Carrie-Anne Moss	Matrix, The
Carroll Baker	Giant
Carroll Baker	Big Country, The
Cary Elwes	Twister
Cary Elwes	Liar Liar
Cary Elwes	Glory
Cary Grant	Philadelphia Story, The
Cary Grant	Suspicion
Cary Grant	None But the Lonely Heart
Cary Grant	Awful Truth, The
Cate Bauer	One Hundred and One Dalmatians
Cate Blanchett	The Aviator
Cate Blanchett	Indiana Jones and the Kingdom of the Crystal Skull
Cate Blanchett	Lord of the Rings: The Fellowship of the Ring, The
Catherine Bell	Bruce Almighty
Catherine OHara	Home Alone 2: Lost in New York
Catherine Zeta-Jones	Chicago
Cathy Moriarty	Raging Bull
Cec Linder	Touch of Class, A
Cecelia Ann Birt	Oceans Eleven
Cecil Cunningham	Awful Truth, The
Cecil Kellaway	Harvey
Cecil Kellaway	Guess Whos Coming to Dinner
Cedric Hardwicke	Suspicion
Celeste Holm	Gentlemans Agreement
Celeste Holm	All About Eve
Celia Johnson	Prime of Miss Jean Brodie, The
Charles Buddy Rogers	Wings
Charles Bickford	Johnny Belinda
Charles Bickford	Song of Bernadette, The
Charles Bickford	Farmers Daughter, The
Charles Boyer	Gaslight
Charles Cioffi	Klute
Charles Coburn	More the Merrier, The
Charles Drake	Harvey
Charles Durning	Tootsie
Charles Durning	Sting, The
Charles Farrell	Seventh Heaven
Charles Fleischer	Who Framed Roger Rabbit
Charles King	Broadway Melody, The
Charles Laughton	Private Life of Henry VIII., The
Charles Laughton	Mutiny on the Bounty
Charles Laughton	Spartacus
Charles Martin Smith	Untouchables, The
Charles Napier	Rambo: First Blood Part II
Charley Grapewin	Captains Courageous
Charley Grapewin	Good Earth, The
Charley Grapewin	Grapes of Wrath, The
Charlie Sheen	Platoon
Charlie Sheen	Wall Street
Charlie Tahan	I Am Legend
Charlize Theron	Cider House Rules, The
Charlize Theron	Monster
Charlize Theron	Hancock
Charlton Heston	Big Country, The
Charlton Heston	Ben-Hur
Charlton Heston	Greatest Show on Earth, The
Cheech Marin	Cars
Cher	Moonstruck
Cherry Jones	Signs
Chip Taylor	Melvin and Howard
Chiwetel Ejiofor	2012
Chloe Sevigny	Boys Dont Cry
Chris Cooper	Adaptation.
Chris Elliott	Theres Something About Mary
Chris Evans	Fantastic Four
Chris Evans	The Avengers
Chris Evans	Captain America: The First Avenger
Chris Haywood	Shine
Chris Hemsworth	Thor
Chris Hemsworth	The Avengers
Chris Klein	American Pie 2
Chris Noth	Sex and the City
Chris ODonnell	Scent of a Woman
Chris ODonnell	Batman Forever
Chris Pine	Star Trek
Chris Rock	Madagascar: Escape 2 Africa
Chris Rock	Madagascar 3: Europes Most Wanted
Chris Rock	Grown Ups
Chris Rock	Madagascar
Chris Rock	The Longest Yard
Chris Rock	Lethal Weapon 4
Chris Sanders	Lilo & Stitch
Chris Tucker	Rush Hour 3
Chris Tucker	Rush Hour 2
Christian Bale	The Dark Knight Rises
Christian Bale	The Fighter
Christian Bale	Batman Begins
Christian Bale	The Dark Knight
Christian Slater	Robin Hood: Prince of Thieves
Christina Jastrzembska	New Moon
Christina Ricci	Monster
Christine Anu	Matrix Reloaded, The
Christine Baranski	How the Grinch Stole Christmas
Christoph Waltz	Inglourious Basterds
Christopher Carley	Gran Torino
Christopher Eccleston	G.I. Joe: The Rise of Cobra
Christopher Evan Welch	Vicky Cristina Barcelona
Christopher Jones	Ryans Daughter
